,product_id,product_name,category,brand,cost_price,unit_price,margin_pct
0,P0000,BrandA Shoulder,Electronics,BrandC,52.75,64.65,18.41
1,P0001,BrandA Responsibility,Electronics,BrandD,11.2,13.26,15.54
2,P0002,BrandB Small,Electronics,BrandB,144.62,250.37,42.24
3,P0003,BrandD Continue,Apparel,BrandD,119.91,219.25,45.31
4,P0004,BrandA Indeed,Apparel,BrandD,71.35,88.47,19.35
5,P0005,BrandC Cut,Electronics,BrandA,79.09,112.55,29.73
6,P0006,BrandC Air,Home & Kitchen,BrandA,147.3,233.12,36.81
7,P0007,BrandD State,Electronics,BrandC,166.73,276.22,39.64
8,P0008,BrandC Growth,Apparel,BrandA,13.94,18.19,23.36
9,P0009,BrandC Keep,Electronics,BrandB,173.96,250.87,30.66
10,P0010,BrandD Reveal,Home & Kitchen,BrandB,77.19,99.46,22.39
11,P0011,BrandC Laugh,Electronics,BrandB,109.16,144.13,24.26
12,P0012,BrandD Cell,Personal Care,BrandC,197.96,331.78,40.33
13,P0013,BrandB Seat,Home & Kitchen,BrandA,49.66,56.06,11.42
14,P0014,BrandC Argue,Personal Care,BrandC,17.91,34.42,47.97
15,P0015,BrandC Peace,Apparel,BrandD,82.15,157.98,48.0
16,P0016,BrandD Crime,Apparel,BrandC,32.23,57.06,43.52
17,P0017,BrandC Firm,Personal Care,BrandD,75.59,151.0,49.94
18,P0018,BrandB Management,Personal Care,BrandA,152.38,285.71,46.67
19,P0019,BrandB Left,Apparel,BrandD,121.3,175.44,30.86
20,P0020,BrandD House,Home & Kitchen,BrandA,137.66,165.62,16.88
21,P0021,BrandC Shake,Home & Kitchen,BrandA,62.23,77.31,19.51
22,P0022,BrandA Much,Home & Kitchen,BrandB,104.0,124.36,16.37
23,P0023,BrandC Believe,Apparel,unknown,77.91,97.03,19.71
24,P0024,BrandA Black,Home & Kitchen,BrandD,8.8,17.04,48.36
25,P0025,BrandC Resource,Apparel,BrandA,51.97,83.7,37.91
26,P0026,BrandA Fund,Electronics,BrandD,164.12,324.99,49.5
27,P0027,BrandB Probably,Apparel,BrandD,189.64,236.79,19.91
28,P0028,BrandD Degree,Apparel,BrandB,144.03,210.15,31.46
29,P0029,BrandC Stuff,Personal Care,BrandD,28.6,37.24,23.2
30,P0030,BrandC War,Electronics,BrandB,119.75,132.5,9.62
31,P0031,BrandA Responsibility,Apparel,BrandA,181.56,340.18,46.63
32,P0032,BrandA Role,Apparel,BrandC,135.45,175.11,22.65
33,P0033,BrandB Training,Personal Care,BrandB,158.0,288.63,45.26
34,P0034,BrandB Draw,Electronics,BrandA,133.5,189.42,29.52
35,P0035,BrandD Sure,Personal Care,BrandA,136.31,270.68,49.64
36,P0036,BrandA Beautiful,Electronics,BrandD,147.0,267.62,45.07
37,P0037,BrandA One,Apparel,BrandB,42.09,63.29,33.5
38,P0038,BrandD The,Apparel,BrandC,95.21,179.66,47.01
39,P0039,BrandA Professor,Personal Care,BrandA,14.86,29.71,49.98
40,P0040,BrandA Identify,Electronics,BrandB,37.43,57.53,34.94
41,P0041,BrandB Prevent,Personal Care,BrandA,37.1,40.88,9.25
42,P0042,BrandD Outside,Home & Kitchen,BrandD,60.62,104.69,42.1
43,P0043,BrandD Who,Apparel,unknown,62.86,123.95,49.29
44,P0044,BrandA Argue,Home & Kitchen,unknown,14.78,22.6,34.6
45,P0045,BrandB Tend,Electronics,BrandA,171.01,198.66,13.92
46,P0046,BrandA Usually,Apparel,BrandD,28.38,53.96,47.41
47,P0047,BrandB Son,Electronics,BrandA,86.75,141.0,38.48
48,P0048,BrandC Carry,Home & Kitchen,BrandB,135.6,187.5,27.68
49,P0049,BrandC Bit,Personal Care,unknown,135.98,186.29,27.01
50,P0050,BrandC Marriage,Electronics,BrandA,94.37,188.61,49.97
51,P0051,BrandA Table,Electronics,BrandB,103.65,126.37,17.98
52,P0052,BrandC Agency,Electronics,BrandB,77.06,95.71,19.49
53,P0053,BrandC Decision,Electronics,BrandC,186.69,222.76,16.19
54,P0054,BrandB Our,Home & Kitchen,BrandA,178.49,315.6,43.44
55,P0055,BrandB Day,Home & Kitchen,BrandC,122.94,214.63,42.72
56,P0056,BrandB Operation,Home & Kitchen,BrandD,53.97,103.48,47.84
57,P0057,BrandA Majority,Electronics,BrandD,166.72,190.01,12.26
58,P0058,BrandC Recently,Apparel,unknown,36.51,54.68,33.23
59,P0059,BrandD Mother,Electronics,BrandA,19.67,37.27,47.22
60,P0060,BrandB Society,Electronics,BrandC,118.59,146.26,18.92
61,P0061,BrandB Off,Electronics,BrandC,76.11,147.64,48.45
62,P0062,BrandA Five,Home & Kitchen,BrandB,138.0,234.63,41.18
63,P0063,BrandC Congress,Personal Care,BrandB,185.52,243.6,23.84
64,P0064,BrandB Important,Apparel,BrandD,9.83,17.33,43.28
65,P0065,BrandC Moment,Personal Care,BrandB,57.03,103.15,44.71
66,P0066,BrandA Computer,Personal Care,BrandA,172.43,224.19,23.09
67,P0067,BrandD Indeed,Home & Kitchen,BrandC,165.0,310.89,46.93
68,P0068,BrandB Nice,Electronics,BrandB,82.7,111.71,25.97
69,P0069,BrandA Wait,Home & Kitchen,BrandC,130.09,189.89,31.49
70,P0070,BrandC Quality,Electronics,unknown,176.02,235.0,25.1
71,P0071,BrandC Tough,Electronics,BrandA,121.33,171.21,29.13
72,P0072,BrandC Finish,Personal Care,BrandA,80.11,129.69,38.23
73,P0073,BrandC Help,Electronics,BrandD,5.33,10.3,48.25
74,P0074,BrandB No,Home & Kitchen,BrandD,18.64,31.65,41.11
75,P0075,BrandC Better,Home & Kitchen,BrandA,145.35,199.17,27.02
76,P0076,BrandC Economy,Personal Care,BrandC,83.47,114.03,26.8
77,P0077,BrandB Need,Apparel,BrandD,134.66,194.08,30.62
78,P0078,BrandB Oil,Home & Kitchen,BrandD,111.85,123.08,9.12
79,P0079,BrandC Southern,Apparel,BrandD,158.22,260.43,39.25
80,P0080,BrandC Market,Personal Care,BrandD,91.22,117.89,22.62
81,P0081,BrandD Need,Apparel,BrandA,60.34,102.43,41.09
82,P0082,BrandC Society,Electronics,BrandB,136.2,177.36,23.21
83,P0083,BrandB Weight,Apparel,BrandA,14.01,27.82,49.64
84,P0084,BrandA Head,Personal Care,BrandD,177.8,287.7,38.2
85,P0085,BrandD Officer,Personal Care,BrandD,52.58,88.88,40.84
86,P0086,BrandA Born,Electronics,BrandD,47.67,86.94,45.17
87,P0087,BrandD Accept,Electronics,BrandB,183.91,222.39,17.3
88,P0088,BrandB Compare,Personal Care,BrandC,190.26,361.93,47.43
89,P0089,BrandD Answer,Personal Care,BrandB,150.01,229.1,34.52
90,P0090,BrandC Chance,Apparel,BrandC,154.33,242.17,36.27
91,P0091,BrandB Add,Home & Kitchen,BrandD,20.11,27.29,26.31
92,P0092,BrandC Half,Home & Kitchen,BrandC,179.14,210.05,14.72
93,P0093,BrandB Present,Apparel,BrandD,140.32,243.56,42.39
94,P0094,BrandA President,Personal Care,BrandD,69.52,105.62,34.18
95,P0095,BrandA So,Apparel,BrandD,80.95,145.13,44.22
96,P0096,BrandA Drive,Personal Care,BrandD,6.15,8.71,29.39
97,P0097,BrandD Might,Personal Care,BrandB,100.2,134.83,25.68
98,P0098,BrandD Officer,Electronics,BrandD,70.55,120.73,41.56
99,P0099,BrandD Indicate,Apparel,BrandD,184.31,365.42,49.56
100,P0100,BrandA Off,Personal Care,BrandA,21.37,31.75,32.69
101,P0101,BrandD Fall,Apparel,unknown,55.73,77.72,28.29
102,P0102,BrandD Improve,Home & Kitchen,BrandC,153.44,221.14,30.61
103,P0103,BrandD Or,Home & Kitchen,BrandA,96.71,171.58,43.64
104,P0104,BrandA Among,Home & Kitchen,BrandB,131.78,237.61,44.54
105,P0105,BrandA Same,Electronics,BrandB,43.88,49.07,10.58
106,P0106,BrandB Follow,Apparel,BrandB,97.34,117.1,16.87
107,P0107,BrandB Never,Personal Care,unknown,154.55,193.34,20.06
108,P0108,BrandA Make,Apparel,BrandC,26.08,29.29,10.96
109,P0109,BrandC Break,Personal Care,unknown,188.59,241.11,21.78
110,P0110,BrandB Not,Electronics,BrandC,170.81,280.19,39.04
111,P0111,BrandA First,Electronics,BrandC,108.89,184.61,41.02
112,P0112,BrandA Represent,Home & Kitchen,BrandA,170.67,314.05,45.66
113,P0113,BrandA Company,Personal Care,BrandC,128.94,238.0,45.82
114,P0114,BrandB You,Personal Care,BrandB,148.09,291.58,49.21
115,P0115,BrandC Piece,Personal Care,BrandD,89.94,158.11,43.12
116,P0116,BrandC Sometimes,Home & Kitchen,BrandB,166.99,196.71,15.11
117,P0117,BrandD Hair,Apparel,BrandD,116.12,197.56,41.22
118,P0118,BrandC Manager,Electronics,BrandD,170.94,216.01,20.86
119,P0119,BrandB Quite,Home & Kitchen,BrandC,71.37,135.05,47.15
120,P0120,BrandC Arm,Electronics,BrandB,21.69,37.92,42.8
121,P0121,BrandD Stand,Apparel,BrandD,130.95,201.89,35.14
122,P0122,BrandA Loss,Electronics,BrandC,48.21,83.05,41.95
123,P0123,BrandC Word,Home & Kitchen,BrandD,112.93,159.16,29.05
124,P0124,BrandC Every,Home & Kitchen,BrandD,57.83,76.7,24.6
125,P0125,BrandA Off,Apparel,BrandC,28.31,44.79,36.79
126,P0126,BrandB History,Apparel,BrandB,149.03,201.02,25.86
127,P0127,BrandC Another,Electronics,BrandB,62.77,89.43,29.81
128,P0128,BrandC Look,Electronics,BrandB,58.49,115.63,49.42
129,P0129,BrandC Let,Apparel,BrandD,25.0,27.78,10.01
130,P0130,BrandC Trial,Personal Care,BrandD,90.89,115.06,21.01
131,P0131,BrandA Gas,Home & Kitchen,BrandD,27.25,31.58,13.71
132,P0132,BrandD Ever,Electronics,BrandA,34.59,63.3,45.36
133,P0133,BrandC Physical,Electronics,BrandB,28.1,50.24,44.07
134,P0134,BrandB Step,Personal Care,BrandD,182.16,249.13,26.88
135,P0135,BrandD Especially,Home & Kitchen,BrandA,123.88,218.78,43.38
136,P0136,BrandB Treat,Apparel,BrandC,133.78,166.07,19.44
137,P0137,BrandB Money,Electronics,BrandB,5.52,8.31,33.57
138,P0138,BrandD Prove,Home & Kitchen,BrandA,50.14,87.06,42.41
139,P0139,BrandD Own,Electronics,BrandB,185.16,334.96,44.72
140,P0140,BrandB Community,Personal Care,BrandA,111.19,187.12,40.58
141,P0141,BrandC Hour,Apparel,BrandA,16.63,30.16,44.86
142,P0142,BrandC Factor,Personal Care,BrandA,96.4,132.42,27.2
143,P0143,BrandD Dark,Home & Kitchen,BrandD,90.36,148.03,38.96
144,P0144,BrandD Mind,Home & Kitchen,BrandC,10.04,13.11,23.42
145,P0145,BrandA Stay,Home & Kitchen,BrandA,153.81,193.44,20.49
146,P0146,BrandD Church,Home & Kitchen,BrandB,199.4,297.56,32.99
147,P0147,BrandD Safe,Electronics,BrandD,72.85,101.99,28.57
148,P0148,BrandA Particular,Apparel,BrandC,85.27,131.82,35.31
149,P0149,BrandD Hot,Electronics,BrandD,22.17,29.42,24.64
150,P0150,BrandA Serious,Personal Care,BrandA,133.24,211.63,37.04
151,P0151,BrandD Side,Electronics,BrandB,106.1,176.17,39.77
152,P0152,BrandD Growth,Personal Care,BrandA,44.69,71.25,37.28
153,P0153,BrandC Surface,Personal Care,BrandD,28.68,56.67,49.39
154,P0154,BrandB Alone,Apparel,BrandC,112.41,179.52,37.38
155,P0155,BrandA World,Apparel,BrandA,94.98,114.52,17.06
156,P0156,BrandB Smile,Personal Care,BrandC,104.23,140.3,25.71
157,P0157,BrandD Past,Personal Care,BrandB,94.07,115.72,18.71
158,P0158,BrandB Value,Apparel,BrandA,58.87,106.61,44.78
159,P0159,BrandD Some,Home & Kitchen,BrandC,165.01,223.52,26.18
160,P0160,BrandC Memory,Personal Care,BrandB,92.08,141.43,34.89
161,P0161,BrandC Least,Personal Care,BrandD,186.91,351.88,46.88
162,P0162,BrandB Onto,Personal Care,BrandB,171.92,252.67,31.96
163,P0163,BrandC Power,Personal Care,unknown,80.29,136.28,41.08
164,P0164,BrandB Whatever,Personal Care,BrandA,29.62,58.32,49.21
165,P0165,BrandC Establish,Electronics,BrandD,24.44,46.91,47.9
166,P0166,BrandA Human,Apparel,BrandD,174.83,344.93,49.31
167,P0167,BrandA Early,Personal Care,BrandC,71.02,122.4,41.98
168,P0168,BrandA Mouth,Home & Kitchen,BrandD,191.06,317.95,39.91
169,P0169,BrandD Get,Electronics,BrandA,50.78,87.14,41.73
170,P0170,BrandC Education,Apparel,unknown,89.62,106.52,15.87
171,P0171,BrandA Sometimes,Personal Care,BrandB,140.33,268.46,47.73
172,P0172,BrandA Difficult,Home & Kitchen,BrandA,62.21,89.42,30.43
173,P0173,BrandB Player,Apparel,BrandD,115.36,209.18,44.85
174,P0174,BrandB Decide,Apparel,BrandA,123.85,178.88,30.76
175,P0175,BrandB Give,Personal Care,BrandB,50.28,84.17,40.26
176,P0176,BrandD Offer,Home & Kitchen,BrandA,180.29,273.81,34.16
177,P0177,BrandC May,Apparel,BrandA,91.14,128.6,29.13
178,P0178,BrandC Use,Personal Care,BrandC,94.08,129.07,27.11
179,P0179,BrandD Product,Personal Care,BrandA,51.26,82.77,38.07
180,P0180,BrandC Unit,Home & Kitchen,BrandA,195.7,331.2,40.91
181,P0181,BrandC Card,Electronics,BrandA,182.57,323.27,43.52
182,P0182,BrandC Fund,Apparel,BrandC,47.71,60.65,21.34
183,P0183,BrandC Direction,Apparel,BrandA,181.16,304.66,40.54
184,P0184,BrandC Think,Personal Care,BrandA,118.02,207.61,43.15
185,P0185,BrandA Mind,Home & Kitchen,BrandC,150.76,189.67,20.51
186,P0186,BrandB Who,Home & Kitchen,BrandC,166.94,222.24,24.88
187,P0187,BrandD Party,Home & Kitchen,BrandC,161.83,246.22,34.27
188,P0188,BrandA Strong,Apparel,BrandB,172.73,302.59,42.92
189,P0189,BrandD Tax,Home & Kitchen,BrandA,159.18,177.09,10.11
190,P0190,BrandA Middle,Personal Care,BrandC,136.2,232.24,41.35
191,P0191,BrandD Face,Home & Kitchen,BrandA,136.59,208.21,34.4
192,P0192,BrandC Become,Apparel,BrandA,128.9,195.65,34.12
193,P0193,BrandC Nothing,Personal Care,BrandA,32.26,62.96,48.76
194,P0194,BrandC In,Personal Care,BrandA,23.95,45.47,47.33
195,P0195,BrandB Care,Personal Care,BrandD,77.35,151.18,48.84
196,P0196,BrandD Strategy,Apparel,BrandD,132.71,245.56,45.96
197,P0197,BrandD Campaign,Home & Kitchen,BrandA,139.6,180.86,22.81
198,P0198,BrandD Instead,Apparel,BrandC,24.37,41.85,41.77
199,P0199,BrandC Grow,Electronics,BrandD,58.8,115.92,49.28
200,P0200,BrandD While,Electronics,BrandB,130.13,213.08,38.93
201,P0201,BrandA Good,Electronics,BrandC,52.5,63.7,17.58
202,P0202,BrandB Simple,Electronics,BrandB,119.34,218.6,45.41
203,P0203,BrandB Since,Home & Kitchen,BrandB,158.79,259.84,38.89
204,P0204,BrandC Right,Apparel,BrandB,110.34,200.67,45.01
205,P0205,BrandA Congress,Electronics,BrandB,7.9,14.31,44.79
206,P0206,BrandB Police,Home & Kitchen,BrandA,38.98,44.72,12.84
207,P0207,BrandD Use,Electronics,BrandA,97.87,176.19,44.45
208,P0208,BrandA Situation,Personal Care,BrandB,189.36,215.69,12.21
209,P0209,BrandC Over,Personal Care,BrandA,16.86,25.81,34.68
210,P0210,BrandD Discuss,Personal Care,BrandA,100.6,193.02,47.88
211,P0211,BrandA Middle,Electronics,BrandC,123.62,143.29,13.73
212,P0212,BrandC Finally,Home & Kitchen,BrandD,198.95,313.84,36.61
213,P0213,BrandD Young,Personal Care,BrandA,159.65,192.05,16.87
214,P0214,BrandB Apply,Personal Care,BrandD,178.18,262.36,32.09
215,P0215,BrandD Whom,Personal Care,BrandD,147.27,203.42,27.6
216,P0216,BrandC Between,Home & Kitchen,BrandC,190.95,328.08,41.8
217,P0217,BrandD Husband,Electronics,BrandA,167.2,197.95,15.53
218,P0218,BrandA Child,Home & Kitchen,BrandB,113.49,184.74,38.57
219,P0219,BrandC Radio,Electronics,BrandD,73.95,125.63,41.14
220,P0220,BrandD Artist,Electronics,BrandC,122.08,172.92,29.4
221,P0221,BrandB Network,Apparel,BrandD,48.73,58.35,16.49
222,P0222,BrandC Business,Electronics,BrandC,116.95,213.61,45.25
223,P0223,BrandA Song,Home & Kitchen,BrandA,40.18,69.61,42.28
224,P0224,BrandC Mouth,Home & Kitchen,BrandC,6.19,11.66,46.91
225,P0225,BrandD Week,Electronics,BrandB,149.49,295.19,49.36
226,P0226,BrandA Other,Apparel,BrandD,86.87,122.21,28.92
227,P0227,BrandC Recent,Home & Kitchen,BrandC,156.48,252.06,37.92
228,P0228,BrandA Herself,Electronics,BrandB,35.69,59.1,39.61
229,P0229,BrandA Degree,Home & Kitchen,BrandD,134.08,206.09,34.94
230,P0230,BrandD Car,Personal Care,BrandC,47.04,73.43,35.94
231,P0231,BrandC Part,Personal Care,BrandA,60.23,103.03,41.54
232,P0232,BrandD Poor,Home & Kitchen,BrandA,48.0,95.33,49.65
233,P0233,BrandA Relationship,Electronics,BrandB,63.78,82.28,22.48
234,P0234,BrandB Cup,Home & Kitchen,BrandC,68.98,76.36,9.66
235,P0235,BrandD List,Apparel,BrandB,79.14,137.17,42.31
236,P0236,BrandC Still,Electronics,BrandD,173.04,196.93,12.13
237,P0237,BrandA During,Personal Care,BrandA,173.11,280.12,38.2
238,P0238,BrandD Say,Personal Care,BrandC,27.46,30.72,10.61
239,P0239,BrandC Market,Apparel,BrandD,167.25,322.42,48.13
240,P0240,BrandA Real,Personal Care,unknown,52.45,85.49,38.65
241,P0241,BrandA Town,Personal Care,BrandC,150.43,195.47,23.04
242,P0242,BrandB Report,Electronics,BrandA,108.47,138.25,21.54
243,P0243,BrandC Who,Home & Kitchen,unknown,51.07,62.91,18.82
244,P0244,BrandB Walk,Apparel,BrandB,153.24,258.97,40.83
245,P0245,BrandB We,Personal Care,BrandD,152.12,271.37,43.94
246,P0246,BrandD Social,Home & Kitchen,BrandC,34.44,40.0,13.9
247,P0247,BrandD Hundred,Home & Kitchen,BrandC,120.33,170.48,29.42
248,P0248,BrandA Teacher,Home & Kitchen,BrandD,93.12,107.2,13.13
249,P0249,BrandC Firm,Electronics,BrandA,124.93,194.44,35.75
250,P0250,BrandD Hard,Electronics,BrandD,182.26,294.26,38.06
251,P0251,BrandB Task,Home & Kitchen,BrandD,102.77,201.63,49.03
252,P0252,BrandD Do,Electronics,BrandC,196.57,231.15,14.96
253,P0253,BrandB Someone,Electronics,BrandB,142.99,284.82,49.8
254,P0254,BrandB Least,Home & Kitchen,BrandC,184.0,266.56,30.97
255,P0255,BrandC Exactly,Electronics,BrandC,17.85,21.15,15.6
256,P0256,BrandD Now,Home & Kitchen,BrandC,146.13,247.09,40.86
257,P0257,BrandB Mean,Home & Kitchen,BrandA,118.63,145.59,18.52
258,P0258,BrandC Rise,Home & Kitchen,BrandD,30.15,52.4,42.46
259,P0259,BrandA Current,Home & Kitchen,BrandD,130.48,182.1,28.35
260,P0260,BrandB Thought,Electronics,BrandD,104.16,116.29,10.43
261,P0261,BrandC Serve,Apparel,BrandB,71.64,128.2,44.12
262,P0262,BrandB Speak,Apparel,BrandB,35.21,48.1,26.8
263,P0263,BrandA Candidate,Electronics,BrandC,175.9,291.33,39.62
264,P0264,BrandD Pretty,Apparel,BrandB,40.26,69.39,41.98
265,P0265,BrandB Line,Personal Care,BrandA,85.12,145.45,41.48
266,P0266,BrandB Often,Personal Care,BrandC,151.72,273.92,44.61
267,P0267,BrandB Edge,Apparel,BrandC,193.29,349.07,44.63
268,P0268,BrandB Reason,Home & Kitchen,BrandD,95.03,128.63,26.12
269,P0269,BrandD Give,Personal Care,BrandB,164.29,299.19,45.09
270,P0270,BrandB Person,Home & Kitchen,BrandA,130.03,245.33,47.0
271,P0271,BrandA How,Electronics,BrandC,21.36,26.58,19.64
272,P0272,BrandD Political,Apparel,BrandD,22.88,43.92,47.91
273,P0273,BrandD Continue,Home & Kitchen,BrandA,85.9,125.14,31.36
274,P0274,BrandC Upon,Apparel,BrandD,198.93,285.95,30.43
275,P0275,BrandA Similar,Home & Kitchen,BrandA,168.64,284.15,40.65
276,P0276,BrandB Near,Apparel,BrandA,60.94,112.54,45.85
277,P0277,BrandB Management,Personal Care,unknown,124.99,239.39,47.79
278,P0278,BrandA Tough,Home & Kitchen,BrandB,167.82,267.49,37.26
279,P0279,BrandD Significant,Electronics,BrandC,51.34,62.1,17.33
280,P0280,BrandB Itself,Personal Care,BrandD,17.25,31.96,46.03
281,P0281,BrandD Force,Electronics,BrandB,145.12,197.67,26.58
282,P0282,BrandA Where,Home & Kitchen,BrandB,116.28,147.51,21.17
283,P0283,BrandA Outside,Home & Kitchen,BrandA,190.91,303.48,37.09
284,P0284,BrandA Become,Personal Care,BrandD,13.49,19.54,30.96
285,P0285,BrandC Everybody,Home & Kitchen,BrandA,74.63,86.63,13.85
286,P0286,BrandB Film,Electronics,BrandC,31.01,43.94,29.43
287,P0287,BrandC Arm,Apparel,BrandD,196.26,300.41,34.67
288,P0288,BrandB Owner,Apparel,BrandA,144.63,281.92,48.7
289,P0289,BrandA Toward,Home & Kitchen,BrandB,13.54,17.32,21.82
290,P0290,BrandA Ball,Home & Kitchen,BrandC,105.5,209.97,49.75
291,P0291,BrandD Memory,Home & Kitchen,BrandA,151.89,193.2,21.38
292,P0292,BrandC Use,Electronics,BrandC,58.28,106.04,45.04
293,P0293,BrandD President,Personal Care,BrandD,179.45,259.84,30.94
294,P0294,BrandB Whatever,Personal Care,BrandD,76.63,139.28,44.98
295,P0295,BrandC Right,Electronics,BrandD,20.39,33.48,39.1
296,P0296,BrandB Popular,Home & Kitchen,BrandC,25.01,34.89,28.32
297,P0297,BrandC Staff,Home & Kitchen,BrandD,122.51,181.74,32.59
298,P0298,BrandD Open,Home & Kitchen,BrandD,13.26,24.97,46.9
299,P0299,BrandC Involve,Personal Care,BrandC,129.7,235.06,44.82
